,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,soroca,0,UA,1571099931,91,48.16,28.28,277.04,1.104
1,axim,67,GH,1571099931,94,4.87,-2.24,297.09,1.722
2,port alfred,50,ZA,1571099931,81,-33.59,26.89,290.37,2.68
3,yima,100,CN,1571099931,41,34.75,111.87,286.01,4.034
4,thompson,90,CA,1571099931,95,55.74,-97.86,274.15,2.6
5,marzuq,0,YE,1571099931,53,14.4,46.47,292.78,0.424
6,constitucion,75,MX,1571099931,38,23.99,-104.67,296.15,1.5
7,sarab,0,IR,1571099931,35,38.61,44.99,282.23,0.286
8,avarua,70,CK,1571099931,69,-21.21,-159.78,298.15,6.7
9,saint-philippe,1,CA,1571099931,61,45.36,-73.48,282.59,3.6
10,lebu,20,ET,1571099931,71,8.96,38.73,283.15,2.065
11,zarichne,39,UA,1571099931,74,49.02,37.94,283.93,2.699
12,usinsk,100,RU,1571099931,96,66.0,57.56,274.05,5.567
13,novyy urengoy,100,RU,1571099931,98,66.08,76.63,277.38,2.704
14,punta arenas,0,CL,1571099931,80,-53.16,-70.91,278.15,1.5
15,vanimo,100,PG,1571099931,72,-2.67,141.3,300.89,2.189
16,masterton,100,NZ,1571099931,66,-40.95,175.66,288.15,1.79
17,ola,63,RU,1571099931,51,59.58,151.3,270.09,3.183
18,mar del plata,0,AR,1571099931,75,-46.43,-67.52,280.85,3.217
19,barrow,100,AR,1571099931,80,-38.31,-60.23,276.88,2.384
20,tasiilaq,65,GL,1571099931,80,65.61,-37.64,273.15,3.6
21,ushuaia,70,AR,1571099931,70,-54.81,-68.31,279.15,11.8
22,leshukonskoye,100,RU,1571099931,91,64.9,45.76,273.22,1.914
23,katsuura,75,JP,1571099931,72,33.93,134.5,293.15,7.2
24,cabo san lucas,20,MX,1571099931,88,22.89,-109.91,300.93,1.0
25,souillac,70,FR,1571099931,93,45.6,-0.6,287.59,4.1
26,ochakiv,20,UA,1571099931,100,46.61,31.55,282.15,2.866
27,rikitea,31,PF,1571099931,82,-23.12,-134.97,296.47,4.05
28,hobart,75,AU,1571099931,82,-42.88,147.33,286.15,5.7
29,alihe,0,CN,1571099931,37,50.57,123.73,279.84,3.89
30,bouca,100,CF,1571099931,95,6.51,18.28,293.51,0.691
31,cape town,75,ZA,1571099931,77,-33.93,18.42,289.26,3.6
32,lavrentiya,100,RU,1571099931,77,65.58,-170.99,275.67,9.145
33,torbay,90,CA,1571099931,80,47.66,-52.73,279.82,4.1
34,mataura,0,NZ,1571099931,55,-46.19,168.86,290.4,0.599
35,nizhniy tsasuchey,44,RU,1571099931,32,50.52,115.13,283.82,5.718
36,nikolskoye,90,RU,1571099931,80,59.7,30.79,278.15,4.0
37,baykit,100,RU,1571099931,94,61.68,96.39,275.91,1.544
38,yulara,51,AU,1571099931,8,-25.24,130.99,308.15,2.6
39,puerto ayora,20,EC,1571099931,64,-0.74,-90.35,295.15,7.2
40,port lincoln,19,AU,1571099931,59,-34.72,135.86,289.77,1.729
41,chokurdakh,100,RU,1571099931,93,70.62,147.9,267.2,6.248
42,beringovskiy,100,RU,1571099931,94,63.05,179.32,277.45,13.267
43,vuktyl,100,RU,1571099931,96,63.86,57.31,275.95,4.114
44,kapaa,1,US,1571099931,70,22.08,-159.32,302.15,7.2
45,marsaxlokk,40,MT,1571099931,88,35.84,14.54,295.15,3.6
46,laramie,1,US,1571099931,20,41.31,-105.59,286.15,4.1
47,kokopo,100,PG,1571099931,82,-4.34,152.27,300.69,9.435
48,atuona,0,PF,1571099931,74,-9.8,-139.03,299.93,8.388
49,bonavista,99,CA,1571099931,82,48.65,-53.11,278.71,1.79
50,port elizabeth,1,US,1571099931,87,39.31,-74.98,290.93,2.693
51,saint-joseph,90,FR,1571099931,77,43.56,6.97,294.15,2.1
52,esperance,75,AU,1571099931,82,-33.86,121.89,286.15,9.8
53,mahebourg,40,MU,1571099931,100,-20.41,57.7,293.15,2.6
54,parakai,57,NZ,1571099931,82,-36.66,174.44,290.37,7.2
55,hithadhoo,100,MV,1571099931,88,-0.6,73.08,299.23,7.083
56,port macquarie,0,AU,1571099931,34,-31.43,152.91,300.37,5.7
57,aklavik,40,CA,1571099931,85,68.22,-135.01,268.15,1.5
58,gornopravdinsk,100,RU,1571099931,94,60.06,69.92,279.0,3.142
59,jieshi,19,CN,1571099931,68,22.82,115.83,298.15,1.34
60,pozo colorado,100,PY,1571099931,87,-23.49,-58.8,293.49,5.252
61,yaan,100,NG,1571099931,95,7.38,8.57,295.76,4.842
62,paita,0,PE,1571099931,75,-5.09,-81.11,291.03,1.831
63,port blair,100,IN,1571099931,76,11.67,92.75,302.1,6.439
64,mount gambier,90,AU,1571099931,72,-37.83,140.78,288.15,4.6
65,pisco,0,PE,1571099931,82,-13.71,-76.2,291.15,6.7
66,airai,0,TL,1571099931,21,-8.93,125.41,304.5,3.278
67,ignacio zaragoza,40,MX,1571099931,43,20.02,-99.32,295.15,5.1
68,jalu,14,LY,1571099931,35,29.03,21.55,297.85,4.939
69,saskylakh,96,RU,1571099931,96,71.97,114.09,268.04,2.522
70,severo-kurilsk,100,RU,1571099931,73,50.68,156.12,275.41,9.895
71,gat,100,SN,1571099931,94,14.69,-16.54,300.15,3.1
72,diffa,8,NE,1571099931,42,13.32,12.61,302.95,3.176
73,katobu,88,ID,1571099931,36,-4.94,122.53,306.74,2.406
74,cherskiy,91,RU,1571099931,88,68.75,161.3,265.43,3.215
75,bluff,0,AU,1571099931,19,-23.58,149.07,308.27,6.29
76,sendai,75,JP,1571099931,55,38.27,140.87,290.15,4.6
77,atambua,0,ID,1571099931,35,-9.11,124.89,302.13,3.444
78,northam,40,AU,1571099931,41,-31.65,116.67,289.15,6.2
79,mayumba,98,GA,1571099931,89,-3.44,10.65,297.47,1.718
80,upernavik,100,GL,1571099931,63,72.79,-56.15,270.07,6.479
81,peterhead,1,AU,1571099931,63,-34.83,138.5,292.04,5.1
82,hammerfest,75,NO,1571099931,91,70.66,23.68,273.15,3.1
83,qaanaaq,100,GL,1571099931,85,77.48,-69.36,267.3,4.802
84,busselton,72,AU,1571099931,39,-33.64,115.35,290.37,4.026
85,hamilton,75,CA,1571099931,70,43.26,-79.87,282.15,1.5
86,vila,75,IT,1571099931,100,45.18,8.4,289.82,1.5
87,aleksin,46,RU,1571099931,91,54.5,37.07,284.19,5.27
88,pangnirtung,100,CA,1571099931,62,66.15,-65.72,270.66,0.547
89,bulawayo,0,ZW,1571099931,68,-20.16,28.59,288.87,4.502
90,ilulissat,79,GL,1571099931,67,69.22,-51.1,266.15,6.2
91,east london,5,ZA,1571099931,67,-33.02,27.91,291.39,9.523
92,coolum beach,85,AU,1571099931,73,-26.53,153.09,299.26,3.13
93,luganville,90,VU,1571099931,78,-15.51,167.18,299.15,3.1
94,morogoro,20,TZ,1571099931,94,-6.82,37.67,294.15,0.772
95,mehamn,94,NO,1571099931,85,71.03,27.85,272.92,1.322
96,hermanus,0,ZA,1571099931,90,-34.42,19.24,288.15,1.696
97,syracuse,90,US,1571099931,81,43.05,-76.15,282.15,2.405
98,ginir,82,ET,1571099931,73,7.14,40.71,285.87,3.594
99,plainview,1,US,1571099931,49,34.18,-101.71,296.15,2.6
100,alpena,1,US,1571099931,74,45.06,-83.43,278.15,2.1
101,hilo,75,US,1571099931,58,19.71,-155.08,302.15,4.1
102,tiksi,98,RU,1571099931,86,71.64,128.87,264.91,3.661
103,vao,8,EE,1571099931,93,59.1,26.19,275.45,1.736
104,mandalgovi,0,MN,1571099931,32,45.76,106.27,275.69,3.037
105,bredasdorp,19,ZA,1571099931,76,-34.53,20.04,288.15,2.1
106,carnarvon,0,ZA,1571099931,39,-30.97,22.13,284.01,6.604
107,leningradskiy,100,RU,1571099931,79,69.38,178.42,274.48,5.171
108,biloela,0,AU,1571099931,28,-24.4,150.51,304.95,5.688
109,fortuna,75,US,1571099931,100,40.6,-124.16,292.59,2.1
110,turukhansk,100,RU,1571099931,98,65.8,87.96,277.47,3.517
111,saint george,0,GR,1571099931,93,39.45,22.34,286.15,0.355
112,enniscorthy,48,IE,1571099931,88,52.5,-6.56,285.93,0.45
113,cadillac,1,US,1571099931,82,44.25,-85.4,278.15,2.643
114,dikson,98,RU,1571099931,78,73.51,80.55,269.79,10.791
115,longyearbyen,75,NO,1571099931,79,78.22,15.63,268.15,1.0
116,narsaq,0,GL,1571099931,41,60.91,-46.05,273.15,2.1
117,albany,40,US,1571099931,54,42.65,-73.75,287.15,4.6
118,verkhneyarkeyevo,100,RU,1571099931,93,55.45,54.3,278.91,3.912
119,cagliliog,4,PH,1571099931,78,13.9,123.29,300.89,5.536
120,isangel,75,VU,1571099931,61,-19.55,169.27,299.15,6.2
121,prince rupert,90,CA,1571099931,87,54.32,-130.32,281.15,7.7
122,tura,100,RU,1571099931,97,64.27,100.22,273.41,1.124
123,bathsheba,40,BB,1571099931,69,13.22,-59.52,301.15,7.7
124,college,20,US,1571099931,47,64.86,-147.8,274.15,4.1
125,vila velha,75,BR,1571099931,74,-3.71,-38.6,300.15,4.1
126,tuktoyaktuk,40,CA,1571099931,85,69.44,-133.03,269.15,3.1
127,tricase,40,IT,1571099931,93,39.93,18.36,288.15,2.341
128,new norfolk,75,AU,1571099931,82,-42.78,147.06,286.15,5.7
129,traverse city,40,US,1571099931,70,44.76,-85.62,282.15,2.1
130,arraial do cabo,0,BR,1571099931,87,-22.97,-42.02,295.28,1.712
131,san patricio,100,PY,1571099931,94,-26.98,-56.83,291.5,4.35
132,vaini,75,IN,1571099931,94,15.34,74.49,296.15,3.1
133,ariquemes,97,BR,1571099931,87,-9.91,-63.03,296.75,1.617
134,lensk,100,RU,1571099931,93,60.71,114.91,273.43,3.955
135,san cristobal,100,HN,1571099931,95,14.68,-86.92,291.94,0.924
136,lorengau,30,PG,1571099931,73,-2.02,147.27,302.12,4.26
137,palmer,9,AU,1571099931,63,-34.85,139.16,294.82,5.1
138,chuy,100,UY,1571099931,75,-33.69,-53.46,285.08,5.418
139,terme,40,TR,1571099931,93,41.21,36.97,288.15,2.1
140,lermontovka,0,RU,1571099931,40,47.15,134.34,274.61,2.737
141,amazar,0,RU,1571099931,41,53.86,120.88,276.33,1.502
142,quballat,20,TN,1571099931,73,36.54,9.66,296.15,5.1
143,antsla,93,EE,1571099931,93,57.83,26.53,279.26,1.5
144,nyurba,26,RU,1571099931,79,63.29,118.35,269.0,1.753
145,north bend,1,US,1571099931,71,43.41,-124.22,288.71,5.1
146,qandala,6,SO,1571099931,75,11.47,49.87,298.02,1.032
147,salalah,40,OM,1571099931,78,17.01,54.1,300.15,2.6
148,buraydah,20,SA,1571099931,41,26.33,43.97,298.15,2.6
149,grants,1,US,1571099931,22,35.15,-107.85,288.15,2.6
150,pyapon,99,MM,1571099931,77,16.29,95.68,302.56,3.738
151,lazaro cardenas,90,MX,1571099931,77,28.39,-105.62,294.15,0.983
152,thunder bay,20,CA,1571099931,86,48.41,-89.26,277.59,2.6
